Started
Inited
Graph Inited
Solved 0
Solved 1
Solved 2
x[0] = 179, v[0] = 0
x[1] = 179.015, v[1] = 0.575683
x[2] = 179.057, v[2] = 1.01077
x[3] = 179.116, v[3] = 1.2169
x[4] = 179.179, v[4] = 1.18118
x[5] = 179.234, v[5] = 0.954169
x[6] = 179.274, v[6] = 0.620473
x[7] = 179.296, v[7] = 0.272705
x[8] = 179.302, v[8] = -0.00328507
x[9] = 179.296, v[9] = -0.13743
x[10] = 179.288, v[10] = -0.0871441
x[11] = 179.287, v[11] = 0.147323
x[12] = 179.303, v[12] = 0.513892
x[13] = 179.338, v[13] = 0.919354
x[14] = 179.394, v[14] = 1.26214
x[15] = 179.465, v[15] = 1.47138
x[16] = 179.541, v[16] = 1.52947
x[17] = 179.618, v[17] = 1.46738
x[18] = 179.688, v[18] = 1.34131
x[19] = 179.752, v[19] = 1.20729
x[20] = 179.809, v[20] = 1.10466
x[21] = 179.862, v[21] = 1.04981
x[22] = 179.914, v[22] = 1.03712
x[23] = 179.966, v[23] = 1.0449
x[24] = 180.018, v[24] = 1.04569
x[25] = 180.07, v[25] = 1.01944
x[26] = 180.12, v[26] = 0.964178
x[27] = 180.167, v[27] = 0.898353
x[28] = 180.21, v[28] = 0.853008
x[29] = 180.252, v[29] = 0.858512
x[30] = 180.296, v[30] = 0.932642
x[31] = 180.345, v[31] = 1.07349
x[32] = 180.403, v[32] = 1.25651
x[33] = 180.471, v[33] = 1.43461
x[34] = 180.547, v[34] = 1.54373
x[35] = 180.625, v[35] = 1.51825
x[36] = 180.699, v[36] = 1.31699
x[37] = 180.757, v[37] = 0.950127
x[38] = 180.794, v[38] = 0.489145
x[39] = 180.806, v[39] = 0.0467925
x[40] = 180.799, v[40] = -0.265611
x[41] = 180.78, v[41] = -0.378956
x[42] = 180.761, v[42] = -0.283413
x[43] = 180.751, v[43] = -0.0201069
x[44] = 180.759, v[44] = 0.337981
x[45] = 180.785, v[45] = 0.701728
x[46] = 180.829, v[46] = 0.976013
x[47] = 180.883, v[47] = 1.07225
x[48] = 180.936, v[48] = 0.93084
x[49] = 180.976, v[49] = 0.549793
x[50] = 180.991, v[50] = 0.00144498
x[51] = 180.976, v[51] = -0.582267
x[52] = 180.933, v[52] = -1.05706
x[53] = 180.871, v[53] = -1.32127
x[54] = 180.801, v[54] = -1.34661
x[55] = 180.736, v[55] = -1.17255
x[56] = 180.684, v[56] = -0.877913
x[57] = 180.648, v[57] = -0.551975
x[58] = 180.629, v[58] = -0.276698
x[59] = 180.621, v[59] = -0.117803
x[60] = 180.617, v[60] = -0.116441
x[61] = 180.609, v[61] = -0.278053
x[62] = 180.589, v[62] = -0.564528
x[63] = 180.553, v[63] = -0.900796
x[64] = 180.499, v[64] = -1.20017
x[65] = 180.433, v[65] = -1.39783
x[66] = 180.36, v[66] = -1.47308
x[67] = 180.286, v[67] = -1.44856
x[68] = 180.215, v[68] = -1.37111
x[69] = 180.148, v[69] = -1.28822
x[70] = 180.086, v[70] = -1.23124
x[71] = 180.025, v[71] = -1.20823
x[72] = 179.965, v[72] = -1.20506
x[73] = 179.905, v[73] = -1.19339
x[74] = 179.846, v[74] = -1.14429
x[75] = 179.79, v[75] = -1.04407
x[76] = 179.741, v[76] = -0.904756
x[77] = 179.7, v[77] = -0.762296
x[78] = 179.665, v[78] = -0.662595
x[79] = 179.634, v[79] = -0.643521
x[80] = 179.601, v[80] = -0.722228
x[81] = 179.561, v[81] = -0.890831
x[82] = 179.512, v[82] = -1.11712
x[83] = 179.45, v[83] = -1.34679
x[84] = 179.377, v[84] = -1.50859
x[85] = 179.299, v[85] = -1.52805
x[86] = 179.224, v[86] = -1.35285
x[87] = 179.163, v[87] = -0.982521
x[88] = 179.126, v[88] = -0.484014
