I = 100000, Safe = 0.01601, UnSafe = 0.02092, Safe / Unsafe = 0.76530
I = 200000, Safe = 0.01595, UnSafe = 0.02104, Safe / Unsafe = 0.75832
I = 300000, Safe = 0.01601, UnSafe = 0.02101, Safe / Unsafe = 0.76206
I = 400000, Safe = 0.01592, UnSafe = 0.02118, Safe / Unsafe = 0.75156
I = 500000, Safe = 0.01601, UnSafe = 0.02107, Safe / Unsafe = 0.75992
I = 600000, Safe = 0.01602, UnSafe = 0.02100, Safe / Unsafe = 0.76272
I = 700000, Safe = 0.01612, UnSafe = 0.02116, Safe / Unsafe = 0.76166
I = 800000, Safe = 0.01608, UnSafe = 0.02121, Safe / Unsafe = 0.75809
I = 900000, Safe = 0.01604, UnSafe = 0.02133, Safe / Unsafe = 0.75190
I = 1000000, Safe = 0.01604, UnSafe = 0.02134, Safe / Unsafe = 0.75172
I = 1100000, Safe = 0.01604, UnSafe = 0.02134, Safe / Unsafe = 0.75137
I = 1200000, Safe = 0.01606, UnSafe = 0.02141, Safe / Unsafe = 0.74985
I = 1300000, Safe = 0.01601, UnSafe = 0.02135, Safe / Unsafe = 0.74986
I = 1400000, Safe = 0.01605, UnSafe = 0.02133, Safe / Unsafe = 0.75223
I = 1500000, Safe = 0.01600, UnSafe = 0.02131, Safe / Unsafe = 0.75074
I = 1600000, Safe = 0.01598, UnSafe = 0.02130, Safe / Unsafe = 0.75029
I = 1700000, Safe = 0.01600, UnSafe = 0.02129, Safe / Unsafe = 0.75153
I = 1800000, Safe = 0.01601, UnSafe = 0.02132, Safe / Unsafe = 0.75097
I = 1900000, Safe = 0.01602, UnSafe = 0.02133, Safe / Unsafe = 0.75084
I = 2000000, Safe = 0.01607, UnSafe = 0.02134, Safe / Unsafe = 0.75296
I = 2100000, Safe = 0.01604, UnSafe = 0.02133, Safe / Unsafe = 0.75202
I = 2200000, Safe = 0.01606, UnSafe = 0.02131, Safe / Unsafe = 0.75345
I = 2300000, Safe = 0.01605, UnSafe = 0.02133, Safe / Unsafe = 0.75265
I = 2400000, Safe = 0.01607, UnSafe = 0.02134, Safe / Unsafe = 0.75315
I = 2500000, Safe = 0.01606, UnSafe = 0.02134, Safe / Unsafe = 0.75257
I = 2600000, Safe = 0.01608, UnSafe = 0.02130, Safe / Unsafe = 0.75469
I = 100000, Safe = 0.01615, UnSafe = 0.02101, Safe / Unsafe = 0.76868
I = 200000, Safe = 0.01620, UnSafe = 0.02160, Safe / Unsafe = 0.75006
I = 300000, Safe = 0.01596, UnSafe = 0.02147, Safe / Unsafe = 0.74363
I = 400000, Safe = 0.01598, UnSafe = 0.02140, Safe / Unsafe = 0.74667
I = 500000, Safe = 0.01606, UnSafe = 0.02128, Safe / Unsafe = 0.75494
I = 600000, Safe = 0.01614, UnSafe = 0.02128, Safe / Unsafe = 0.75848
I = 700000, Safe = 0.01615, UnSafe = 0.02127, Safe / Unsafe = 0.75927
I = 100000, Safe = 0.01614, UnSafe = 0.02127, Safe / Unsafe = 0.75882
I = 200000, Safe = 0.01612, UnSafe = 0.02164, Safe / Unsafe = 0.74498
I = 300000, Safe = 0.01607, UnSafe = 0.02155, Safe / Unsafe = 0.74571
I = 400000, Safe = 0.01590, UnSafe = 0.02153, Safe / Unsafe = 0.73822
I = 500000, Safe = 0.01594, UnSafe = 0.02143, Safe / Unsafe = 0.74377
I = 600000, Safe = 0.01590, UnSafe = 0.02138, Safe / Unsafe = 0.74373
I = 700000, Safe = 0.01598, UnSafe = 0.02142, Safe / Unsafe = 0.74613
I = 800000, Safe = 0.01599, UnSafe = 0.02135, Safe / Unsafe = 0.74899
I = 900000, Safe = 0.01605, UnSafe = 0.02125, Safe / Unsafe = 0.75520
I = 1000000, Safe = 0.01610, UnSafe = 0.02126, Safe / Unsafe = 0.75740
I = 1100000, Safe = 0.01609, UnSafe = 0.02125, Safe / Unsafe = 0.75738
