№   ампл.т. ампл.э. фаза.т. фаза.э.
  0   0.000 0.000    0.824 0.000
  1   0.000 0.000    0.852 0.000
  2   0.000 0.000    0.878 0.000
  3   0.000 0.000    0.901 0.000
  4   0.000 0.000    0.922 0.000
  5   0.000 0.001    0.940 0.000
  6   0.000 0.001    0.956 0.000
  7   0.000 0.001    0.969 0.000
  8   0.000 0.001    0.980 0.000
  9   0.000 0.001    0.988 0.000
 10   0.000 0.001    0.994 0.000
 11   0.000 0.001    0.998 0.000
 12   0.000 0.001    1.000 0.000
 13   0.000 0.002    1.000 0.000
 14   0.000 0.002    0.997 0.000
 15   0.000 0.002    0.993 0.000
 16   0.000 0.002    0.987 0.000
 17   0.000 0.002    0.979 0.000
 18   0.000 0.002    0.969 0.000
 19   0.000 0.002    0.958 0.000
 20   0.000 0.002    0.945 0.000
 21   0.000 0.003    0.931 0.000
 22   0.000 0.003    0.916 0.000
 23   0.000 0.003    0.899 0.000
 24   0.000 0.003    0.881 0.000
 25   0.000 0.003    0.862 0.000
 26   0.000 0.003    0.842 0.000
 27   0.000 0.003    0.822 0.000
 28   0.000 0.003    0.800 0.000
 29   0.000 0.004    0.778 0.000
 30   0.000 0.004    0.755 0.000
 31   0.000 0.004    0.731 0.000
 32   0.000 0.004    0.707 0.000
 33   0.000 0.004    0.683 0.000
 34   0.000 0.004    0.658 0.000
 35   0.000 0.004    0.633 0.000
 36   0.000 0.004    0.607 0.000
 37   0.000 0.005    0.581 0.000
 38   0.000 0.005    0.556 0.000
 39   0.000 0.005    0.530 0.000
 40   0.000 0.005    0.504 0.000
 41   0.000 0.005    0.478 0.000
 42   0.000 0.005    0.452 0.000
 43   0.000 0.005    0.426 0.000
 44   0.000 0.006    0.401 0.000
 45   0.000 0.006    0.376 0.000
 46   0.000 0.006    0.350 0.000
 47   0.000 0.006    0.325 0.000
 48   0.000 0.006    0.301 0.000
 49   0.000 0.006    0.276 0.000
 50   0.000 0.007    0.252 0.000
 51   0.000 0.007    0.229 0.000
 52   0.000 0.007    0.206 0.000
 53   0.000 0.007    0.183 0.000
 54   0.000 0.007    0.160 0.000
 55   0.000 0.007    0.138 0.000
 56   0.000 0.008    0.117 0.000
 57   0.000 0.008    0.096 0.000
 58   0.000 0.008    0.075 0.000
 59   0.000 0.008    0.055 0.000
 60   0.000 0.008    0.036 0.000
 61   0.000 0.008    0.016 0.000
 62   0.000 0.009   -0.002 0.000
 63   0.000 0.009   -0.020 0.000
